frase,categoria
"Qual é o limite do meu cartão?",limite
"Como posso aumentar meu limite?",limite
"Qual é o meu limite de crédito?",limite
"Meu limite foi reduzido",limite
"Quero saber meu limite disponível",limite
"Como aumentar o limite do cartão?",limite
"Solicitar aumento de limite",limite
"Quanto tenho de limite?",limite
"Limite disponível no cartão",limite
"Por que meu limite foi bloqueado?",limite
"Meu limite diminuiu sem motivo",limite
"Quero solicitar revisão do meu limite",limite
"Limite de crédito reduzido",limite
"Como funciona o limite do cartão?",limite
"Quando posso pedir aumento de limite?",limite
"Quando vence a fatura do meu cartão?",fatura
"Qual é o valor da minha fatura?",fatura
"Quando vence minha fatura?",fatura
"Quero ver minha fatura",fatura
"Valor da fatura atual",fatura
"Data de vencimento da fatura",fatura
"Minha fatura está alta",fatura
"Como consultar a fatura?",fatura
"Segunda via da fatura",fatura
"Fatura do mês passado",fatura
"Quero a fatura em PDF",fatura
"Como receber a fatura por email?",fatura
"Fatura não chegou",fatura
"Fatura com valor errado",fatura
"Contestar cobrança na fatura",fatura
"Como faço para pagar a fatura?",pagamento
"Quero pagar meu cartão",pagamento
"Como pagar o cartão?",pagamento
"Boleto para pagamento",pagamento
"Pagar fatura pelo aplicativo",pagamento
"Formas de pagamento do cartão",pagamento
"Como quitar minha dívida?",pagamento
"Pagar fatura atrasada",pagamento
"Pagar pelo PIX",pagamento
"Pagamento mínimo da fatura",pagamento
"Pagar fatura no débito automático",pagamento
"Código de barras para pagamento",pagamento
"Posso pagar antecipado?",pagamento
"Pagar parcelado a fatura",pagamento
"Juros por atraso no pagamento",pagamento
"Quais são as taxas do meu cartão?",taxas
"Qual é a taxa de juros?",taxas
"Taxa de anuidade do cartão",taxas
"Juros do cartão de crédito",taxas
"Quanto é a anuidade?",taxas
"Taxas e encargos do cartão",taxas
"IOF do cartão",taxas
"Taxa de juros rotativo",taxas
"Quanto é o juros por atraso?",taxas
"Taxa de saque no cartão",taxas
"Taxa de câmbio no exterior",taxas
"Encargos por atraso",taxas
"Anuidade grátis",taxas
"Como isentar a anuidade?",taxas
"Tarifa de manutenção do cartão",taxas
"Como posso desbloquear meu cartão?",desbloqueio
"Cartão bloqueado como desbloquear?",desbloqueio
"Desbloquear cartão novo",desbloqueio
"Meu cartão está bloqueado",desbloqueio
"Como ativar meu cartão?",desbloqueio
"Cartão não funciona como desbloquear",desbloqueio
"Recebi o cartão como ativo?",desbloqueio
"Cartão recusado como resolver?",desbloqueio
"Cartão novo como usar?",desbloqueio
"Reativar cartão cancelado",desbloqueio
"Desbloquear cartão pelo celular",desbloqueio
"Como faço para solicitar um novo cartão?",solicitacao
"Quero pedir um cartão",solicitacao
"Solicitar cartão adicional",solicitacao
"Como pedir um segundo cartão?",solicitacao
"Quero um cartão para meu dependente",solicitacao
"Pedir novo cartão de crédito",solicitacao
"Cartão para filho menor de idade",solicitacao
"Solicitar cartão virtual",solicitacao
"Como adicionar dependente no cartão?",solicitacao
"Pedir cartão de crédito online",solicitacao
"Qual é o saldo disponível no meu cartão?",saldo
"Quanto tenho de saldo?",saldo
"Ver saldo do cartão",saldo
"Consultar saldo disponível",saldo
"Quanto posso gastar?",saldo
"Saldo atual do cartão",saldo
"Meu saldo disponível",saldo
"Saldo após compras",saldo
"Saldo no aplicativo",saldo
"Consultar saldo pelo celular",saldo
"Saldo do cartão adicional",saldo
"Como consultar meu extrato?",extrato
